no.,time,dht_humidity,dht_temperature,aw_current_temp,aw_current_rftemp,aw_current_rftemp_shade,aw_current_hum,aw_current_israining,aw_future_temp,aw_future_rftemp,aw_future_hum,ds_current_temp,ds_current_rftemp,ds_current_hum,ds_future_temp,ds_future_rftemp,ds_future_hum
1,30 Jul 2019 18:10,54.0,29.2,22.8,23.4,23.4,83,False,20.5,19.4,76,22.18,22.82,91.0,20.42,20.55,78.0
2,30 Jul 2019 20:10,79.3,25.5,22.8,23.0,23.0,77,False,16.9,15.6,86,22.27,22.73,83.0,18.48,18.48,73.0
3,30 Jul 2019 22:10,82.3,24.1,20.0,20.0,20.0,93,False,16.3,15.4,87,19.63,20.2,98.0,16.34,16.34,81.0
4,31 Jul 2019 00:10,88.6,23.0,21.1,19.9,19.9,82,False,16.3,15.6,87,19.14,19.6,95.0,16.05,16.05,84.0
5,31 Jul 2019 02:10,83.7,22.3,20.0,18.3,18.3,72,False,19.6,19.7,69,18.66,18.66,75.0,18.48,18.48,74.0
6,31 Jul 2019 04:10,76.3,20.9,17.8,16.5,16.5,82,False,22.1,23.8,54,17.38,17.38,80.0,21.08,21.08,64.0
7,31 Jul 2019 06:10,78.9,19.6,17.2,16.9,15.9,87,False,23.8,27.0,47,16.99,17.03,88.0,22.74,22.74,56.99999999999999
8,31 Jul 2019 08:10,81.6,19.4,20.0,21.8,18.8,68,False,25.4,26.8,40,19.01,19.01,74.0,22.89,22.89,56.00000000000001
9,31 Jul 2019 10:10,69.7,22.5,22.2,26.2,21.2,56,False,24.2,25.1,42,22.41,22.41,60.0,24.36,24.36,47.0
10,31 Jul 2019 12:10,44.8,27.4,25.0,28.1,23.5,50,False,23.1,23.0,42,24.26,24.26,53.0,23.74,23.74,46.0
11,31 Jul 2019 14:10,44.8,28.1,25.0,26.9,23.4,46,False,21.2,20.0,47,25.14,25.14,47.0,20.94,20.94,52.0
